ObjectID *,GlobalID *,Park,Spring name,SiteCode,SiteID,DateTime,Protocol,SurveyName,VisitType,Sampled,SpringType,Spring comments,UTM zone,Datum,GPS ID,Are you using the internal camera on this device for photos?,Camera ID #,Memory Card #,Is this a sensor spring?,Was the old sensor retrieved?,Was a new sensor deployed?,Sensor type,Sensor ID,Deployment time,Notes,FlowCondition,DischargeMethod,VolDischarge_L_per_s,DischargeClass_L_per_s,ContainerVolume_mL,PercentCaptured,Discharge notes,SpringbrookType,SpringbrookLengthFlag,SpringbrookLength_m,SpringbrookWidth_m,DiscontinuousSpringbrookLengthFlag,DiscontinuousSpringbrookLength_m,Channel description,Water quality data collected?,Enter the date and time of the last calibration,Water quality instrument,pH instrument,DO instrument,SpCond instrument,Temperature instrument,Did you check the calibration at this spring?,Please describe why a calibration check was not necessary,Calibration check parameters,Select the first pH standard,First pH temperature (C),First pH reading,Select the second pH standard,Second pH temperature (C),Second pH reading,DO% temperature (C),DO% reading,Barometric pressure (mmHg),SpCond standard (uS/cm),SpCond reading (uS/cm),Calibration check notes,Water quality parameters,Why are water quality data missing?,pH reading 1,pH reading 2,pH reading 3,Temperature reading 1 (C),Temperature reading 2 (C),Temperature reading 3 (C),SpCond reading 1 (uS/cm),SpCond reading 2 (uS/cm),SpCond reading 3 (uS/cm),DO reading 1 (%),DO reading 1 (mg/L),DO reading 2 (%),DO reading 2 (mg/L),DO reading 3 (%),DO reading 3 (mg/L),Water quality notes,Flow modification,Roads,Human use,Plant management,Hiking trails,Livestock/feral,Other,Fire,Flooding,Wildlife,Other,Overall disturbance,Disturbance notes,Is there evidence of wildlife?,Vegetation present?,LifeFormList,LifeFormListWPhotos,WoodyGT4m,Woody2to4m,WoodyLT2m,Forb,Grass,Reed,Rush,Sedge,Cattail,Bryophyte,NonPlant,Mistletoe (Phoradendron sp.) present?,Vegetation notes,Invasive Plants Observed?,Invasive notes,InvasiveListInternal,InvasiveListExternal,CreationDate *,Creator *,EditDate *,Editor *,Is springbrook continuous or discontinuous?,Is discontinuous surface water length >50m or measured?,Discontinous length (m),pHWarning,TempWarning,SpCondWarning,DOPctWarning,DOMgWarning,pH flag,Temperature flag,SpCond flag,DO flag,Permanent bolt status?,CameraCardName,Shape
14,{2fe81737-824f-412c-bae6-bbd1d09db626},Lake Mead NRA,LAKE_P_HOR0042,LAKE_P_HOR0042,309,10/28/2019 17:20,MOJN DS (Published 2018),LAKE_P_HOR0042: 2019-10-28,Primary,Sampled,Rheocrene,"Spring dry, no evidence of recent discharge",Zone 11,NAD83 (Unknown),MOJN A2 (Arrow),No,36783,MOJN_03,Yes,Yes,Yes,HOBO TidbiT,361,10:37,Sensor ID 20661046,dry,Estimated,,0 L/s,<Null>,<Null>,<Null>,,Measured,0,0,<Null>,<Null>,Source emerges at base of bedrock cliff; spring brook flows down sandy wash full of baccharis and annual grasses,No - Insufficient water,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,None,0,0,0,0,0,0,0,0,0,0,0,New green metal fence post 10m above source (from LAKE or EPMT?). Bones and carcass of fox outside buffer,Yes,Yes,"Woody <2m, Forb, Grass, Bryophyte","Woody <2m: 0496, 0497, 0498
Forb: 0489, 0490
Grass: 0487, 0488
Bryophyte: 0499, 0500",NA,NA,1,3,2,NA,NA,NA,NA,4,NA,No,"Mistletoe present in catclaw just outside buffer, thistle (photo 0495), large cottonwoods 10-100m upstream of source (photo 0504)",Yes,POMOabundant throughout wash; at least 2 large TARA ~10m upstream of source at base of cottonwood,"TARA (Tamarix ramosissima), POMO5 (Polypogon monspeliensis)","TARA (Tamarix ramosissima): 0501, 0503
POMO5 (Polypogon monspeliensis): 0485, 0486, 0491",11/25/2019 20:21,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Point
13,{855cd824-1023-46fd-9d5c-51fa6476b587},Lake Mead NRA,LAKE_P_SUG0011,LAKE_P_SUG0011,295,10/28/2019 21:00,MOJN DS (Published 2018),LAKE_P_SUG0011: 2019-10-28,Primary,Sampled,Rheocrene,"Spring dry, no evidence of recent flow",Zone 11,NAD83 (Unknown),MOJN A2 (Arrow),No,36783,MOJN_03,Yes,Yes,Yes,HOBO TidbiT,361,14:25,Sensor Installed with same bolt and red and white wire as recovered sensors. Sensor ID not listed on data sheet.,dry,Estimated,,0 L/s,<Null>,<Null>,<Null>,,Measured,0,0,<Null>,<Null>,<Null>,No - Insufficient water,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,None,0,1,1,4,0,0,1,2,0,0,4,"Old, closed road runs ~15m above source; 2 visitors observed walking down wash below source (popular hike); some litter in buffer; downed veg and scouring of banks in channel",Yes,Yes,"Woody >4m, Woody 2-4m, Woody <2m, Forb","Woody >4m: 0518, 0519, 0530
Woody 2-4m: 0531, 0532, 0521, 0520
Woody <2m: 0509, 0510, 0533
Forb: 0513, 0512, 0514, 0511",1,2,3,4,NA,NA,NA,NA,NA,NA,NA,No,"Encelia farinosa also present in buffer, annual forbs and grasses in wash just outside buffer.",Yes,Schismus sp. just ~1m outside of buffer,SCHIS (Schismus spp),SCHIS (Schismus spp): 0534,11/25/2019 20:00,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Point
9,{941b8734-70cb-4121-a9c2-b065557c5367},Lake Mead NRA,LAKE_P_COR0023,LAKE_P_COR0023,296,10/29/2019 18:45,MOJN DS (Published 2018),LAKE_P_COR0023: 2019-10-29,Primary,Sampled,Rheocrene,<Null>,Zone 11,NAD83 (Unknown),BadElf 4181,No,36782,MOJN_02,Yes,Yes,Yes,HOBO TidbiT,305,11:45,<Null>,flowing,Estimated,,<0.1 L/s,<Null>,<Null>,"Source pool 1.5m x 1.5m, discharge continues ~100m down small channel",,>50m,<Null>,1.75,<Null>,<Null>,"Source pool emerges at base of tuffaceous cliff, flows ~100m",Yes,10/29/2019 18:45,MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),No,Calibrated at the spring.,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,"DO_percent,pH,DO_mg_per_L,SpCond,Temp",<Null>,6.97,6.97,6.97,27.5,27.5,27.5,4011,4010,4010,34.6,2.54,34.6,2.54,34.5,2.53,SpCond took a while to stabilize in spring,None,0,1,0,0,1,0,0,0,1,0,1,"PVC pipe in phragmites patch, rebar along spring brook, barbed wire exclosure fence around spring complex, old cowpies within fence (one cowpie in the buffer)",Yes,Yes,"Woody 2-4m, Woody <2m, Forb, Grass, Reed, Rush, Sedge, Cattail, Non-Plant","Woody 2-4m: 0662, 0663
Woody <2m: 0649, 0650, 0651
Forb: 0648, 0647, 0645
Grass: 0664, 0665
Reed: 0659, 0660, 0661
Rush: 0656, 0657, 0658
Sedge: 0653, 0655
Cattail: 0667, 0668, 0669
Non-Plant: 0666",NA,6,3,2,7,1,5,4,8,NA,9,No,<Null>,Yes,<Null>,WAFI (Washingtonia filifera),"WAFI (Washingtonia filifera): 0662, 0663",11/25/2019 17:00,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,No Data,,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NF,NF,NF,NF,No data,<Null>,Point
12,{6736ab10-3cd1-4fcc-bba1-863d429f8a19},Lake Mead NRA,LAKE_P_GNA0050,LAKE_P_GNA0050,307,10/29/2019 21:19,MOJN DS (Published 2018),LAKE_P_GNA0050: 2019-10-29,Primary,Sampled,Rheocrene,Spring located in densely vegetated wash just below Northshore Rd.. Source cords from last year dry; water found ~10m downstream. Placed sensor in pool but monitored original coordinates. Internal gps for iPad 2 used because arrow would not connect.,Zone 11,NAD83 (Unknown),Unknown,No,36783,MOJN_03,Yes,No,Yes,HOBO TidbiT,310,16:06,"Sensor tied to red and white wire, tied around 2 sturdy roots",standing water,Estimated,,<0.1 L/s,<Null>,<Null>,<Null>,,Measured,1,0.5,<Null>,<Null>,"3m-4m erosional cliff south bank, north bank gradual entry to channel. Wash channel total width 10m-15m. Heavily vegetated, intense bushwhacking. Approach from north bank (note: must have meant to write south bank on sheet, approach from north blocked due to vegetation.)",Yes,10/29/2019 21:19,MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),No,Calibrated at this spring,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,"pH,DO_percent,DO_mg_per_L,SpCond,Temp",<Null>,6.9,6.9,6.9,17.5,17.5,17.5,5411,5412,5412,30.5,2.65,30.2,2.63,30,2.62,DO decreasing slightly. Measurements taken in downstream pool.,None,0,0,0,0,0,0,0,0,0,0,0,Alluvial deposits; ground level is higher than appears in previous seasons photos; road above spring with culvert outside of buffer.,Yes,Yes,"Woody >4m, Woody 2-4m, Woody <2m, Forb, Reed, Sedge, Cattail","Woody >4m: 0547, 0548, 0549
Woody 2-4m: 0550, 0551, 0552, 0553
Woody <2m: 0540
Forb: 0541, 0542, 0543, 0544
Reed: 0545, 0546
Sedge: 0555
Cattail: 0554",5,4,3,6,NA,1,NA,7,2,NA,NA,No,Dense vegetation in wash,Yes,"Little ones and big ones, source pic contains tamarisk and is listed here",TARA (Tamarix ramosissima),TARA (Tamarix ramosissima): 0538,11/25/2019 19:26,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,Continuous,,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NF,NF,NF,NF,<Null>,<Null>,Point
11,{afefa44a-45b3-4147-94bf-84058f4c7f3d},Lake Mead NRA,LAKE_P_GET0066,LAKE_P_GET0066,300,10/29/2019 21:44,MOJN DS (Published 2018),LAKE_P_GET0066: 2019-10-29,Primary,Sampled,Rheocrene,"Spring flows intermittently ~30m down gypsiferous gully, halophytes present including tamarisk and iodine bush",Zone 11,NAD83 (Unknown),BadElf 4181,No,36782,MOJN_02,Yes,Yes,Yes,HOBO TidbiT,306,15:25,New sensor installed with same bolt and white wire in same location as previous deployment,flowing,Estimated,,<0.1 L/s,<Null>,<Null>,Water dripping from wall of gully just upstream from source pool,,Measured,1.75,1,<Null>,<Null>,"Small source pool emerges at the end of narrow, gypsiferous gully, water re-emerges 15m below source pool and flows continuously for 12m down the gully over short ledge.",Yes,10/29/2019 18:51,MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),MOJN YSI ProDSS (4651),No,Calibrated recently at corral spring,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,"pH,DO_percent,DO_mg_per_L,SpCond,Temp",<Null>,7.96,7.96,7.96,8.3,8.3,8.3,20243,20242,20241,107.6,11.22,107.6,11.22,107.6,11.22,"Instrument calibrated with 1413 microseiverts/cm standard. 10000 microseiverts/cm standard would have been better. DO high, likely affected by abundant algae.",None,0,0,0,0,0,0,0,1,0,0,1,Some vegetation pressed down from flooding,Yes,Yes,"Woody 2-4m, Woody <2m, Non-Plant","Woody 2-4m: 0678, 0679, 0680
Woody <2m: 0681, 0682, 0683, 0686
Non-Plant: 0684",NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,No,<Null>,Yes,At least 5 individual tamarisks,TARA (Tamarix ramosissima),"TARA (Tamarix ramosissima): 0678, 0679, 0680",11/25/2019 18:49,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NF,NF,NF,NF,<Null>,<Null>,Point
18,{dac4ea9d-0c0b-4da0-9b50-b635378674b8},Lake Mead NRA,LAKE_P_DRI0002,LAKE_P_DRI0002,330,10/30/2019 16:37,MOJN DS (Published 2018),LAKE_P_DRI0002: 2019-10-30,Primary,Sampled,Rheocrene,"Dry, high winds while monitoring. Most vegetation is senesced or dormant for winter.",Zone 11,NAD83 (Unknown),BadElf 4181,No,36783,MOJN_03,Yes,Yes,Yes,HOBO TidbiT,304,9:43,Deploying with same bolt and red and black wire.,dry,Estimated,,0 L/s,<Null>,<Null>,<Null>,,Measured,0,0,<Null>,<Null>,"Channel inside small canyon. Descends 2m dryfall, then 5m flat leading to 4m dryfall, progressing to valley floor. Granite cliff walls. Dryfall extends 15m from source.",No - Insufficient water,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes - All inactive,0,1,0,0,0,0,0,1,0,0,1,"Pipe near source possibly active when wet. Pipe on dryfall rusted and inactive. Possible trail continuing upstream from source, but that could be a stream channel from surface drainage. Flood disturbance is buildup of debris on dryfall.",Yes,Yes,"Woody <2m, Forb, Grass, Bryophyte, Non-Plant","Woody <2m: 0562, 0563, 0564
Forb: 0576, 0575
Grass: 0565, 0566, 0567
Bryophyte: 0572
Non-Plant: 0570, 0571",NA,NA,2,5,1,NA,NA,NA,NA,4,3,No,"Mistletoe not in buffer, but is 10m upstream from source. Grass is unknown brome. Multiple grass species, all senesced. Multiple woody<2: cholla and multiple senesced plants.",Yes,Other senesced grass is brome-like and may be invasive.,BRRU2 (Bromus rubens),"BRRU2 (Bromus rubens): 0568, 0569",11/25/2019 21:35,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Point
10,{eb299768-b080-4425-89df-6f18d24ec681},Lake Mead NRA,LAKE_P_GRA0058,LAKE_P_GRA0058,315,10/30/2019 18:00,MOJN DS (Published 2018),LAKE_P_GRA0058: 2019-10-30,Primary,Sampled,Rheocrene,"Extensive spring system with a waterfall discharging into a large pool. Actual source of spring is above waterfall, but monitoring occurs in pool below waterfall.",Zone 11,NAD83 (Unknown),BadElf 4581,No,36781,MOJN_02,Yes,Yes,Yes,HOBO TidbiT,311,0:15,"New sensor deployed in same location, attached to same bolt and wire as old sensor. Sensor is very well hidden. You may have to dig through mimulus and move a rock to find it. Sensor on left bank when looking downstream.",flowing,Volumetric,,<Null>,800,7.5,"Discharge measured at waterfall; had to estimate % flow captured (on data sheet as 5-10%, averaged for Survey123 form) due to width of waterfall and the fact that it splits down the middle.",,>50m,<Null>,1.5,<Null>,<Null>,Vegetation choked channel,Yes,10/30/2019 18:00,MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),MOJN YSI ProDSS (1790),No,Calibrated at parking for this spring,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,"pH,DO_percent,DO_mg_per_L,SpCond,Temp",<Null>,8.19,8.19,8.19,11.4,11.3,11.3,795,795,795,96.1,9.9,96.1,9.91,96,9.9,<Null>,None,0,1,0,2,0,0,0,1,0,0,2,"Some litter in buffer; social trail leads to spring; old pipe downstream near parking, but not in buffer. Graffiti on canyon wall",Yes,Yes,"Woody >4m, Woody 2-4m, Woody <2m, Forb, Grass, Reed, Cattail, Bryophyte, Non-Plant","Woody >4m: 0714, 0715, 0716
Woody 2-4m: 0714, 0715, 0716
Woody <2m: 0710, 0711, 0712
Forb: 0694, 0695, 0696, 0697
Grass: 0698, 0699, 700
Reed: 0708, 0709
Cattail: 0705, 0706, 0707
Bryophyte: 0704
Non-Plant: 0701, 0702",8,4,1,2,7,5,NA,NA,6,9,3,No,"Measured spring brook to 10m, which is where you cross over the spring brook, and had to estimate vegetation for the last 10m of spring brook.",Yes,"Tamarisk present and abundant in lower section of spring, but not at source",TARA (Tamarix ramosissima),TARA (Tamarix ramosissima): ,11/25/2019 18:25,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NF,NF,NF,NF,<Null>,<Null>,Point
17,{a872863e-e9e0-456e-9bd9-74dea1c0d50c},Lake Mead NRA,LAKE_P_PIP0016,LAKE_P_PIP0016,332,10/30/2019 18:15,MOJN DS (Published 2018),LAKE_P_PIP0016: 2019-10-30,Primary,Sampled,Rheocrene,"Petroglyphs 500m downstream. Spring is dry, most riparian veg is dead/dormant. Healthier riparian veg ~10m upstream. High winds while monitoring.",Zone 11,NAD83 (Unknown),BadElf 4181,No,36783,MOJN_03,Yes,Yes,Yes,HOBO TidbiT,307,11:30,<Null>,dry,Estimated,,0 L/s,<Null>,<Null>,Dry,,Measured,0,0,<Null>,<Null>,"6m high granite cliff south bank, north bank gradual slope. 0.25m deep channel incision, 0.5 to 1m wide channel filled with sand and gravel. Abundant woody debris from nearby dead veg.",No - Insufficient water,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,None,0,1,1,0,0,0,0,2,1,0,2,Mammal burrows near source. Unknown white marker posts. Likely tamarisk stumps due to plant management. Rusted metal debris 9.3m downstream.,Yes,Yes,"Woody >4m, Woody 2-4m, Woody <2m, Forb, Grass, Non-Plant","Woody >4m: 0597, 0598, 0599
Woody 2-4m: 0597, 0598, 0599
Woody <2m: 0587, 0588, 0589, 0590
Forb: 0584, 0585, 0586
Grass: 0591, 0592, 0586
Non-Plant: 0594",4,5,1,2,3,NA,NA,NA,NA,NA,6,Yes,"Dead cattail laying down upstream of source. Healthy honey mesquite patch upstream from source. Dead mistletoe in buffer, living mistletoe outside of buffer.",Yes,"Abundant tufts of unknown annual grass, possibly invasive",BRRU2 (Bromus rubens),"BRRU2 (Bromus rubens): 0582, 0583",11/25/2019 21:16,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Point
16,{144307f9-2a35-47b1-a3c3-7286c8ee5ce3},Lake Mead NRA,LAKE_P_WIL0061,LAKE_P_WIL0061,313,10/30/2019 20:02,MOJN DS (Published 2018),LAKE_P_WIL0061: 2019-10-30,Primary,Sampled,Rheocrene,Dry. No flow markers from spring. NPS rebar marker pounded into bed about 1m downstream of source. Does not appear to have flowed recently.,Zone 11,NAD83 (Unknown),BadElf 4181,No,36783,MOJN_03,Yes,Yes,Yes,HOBO TidbiT,309,13:16,New sensor attached with buried bolt in same location as retrieved sensors,dry,Estimated,,0 L/s,<Null>,<Null>,<Null>,,Measured,0,0,<Null>,<Null>,"Low gradient, amid large granite outcrops and boulders. No incision from source.",No - Insufficient water,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,None,0,1,0,0,0,0,0,0,0,0,1,NPS tagged rebar marker stake pounded into center of wash near source. Shotgun shells.,Yes,Yes,"Woody <2m, Forb, Grass, Non-Plant","Woody <2m: 0609, 0610, 0611
Forb: 0615, 0616, 0617
Grass: 0607, 0608
Non-Plant: 0618",NA,NA,1,2,3,NA,NA,NA,NA,NA,4,No,"Unknown woody aster, yellow flower (photos 0612, 0613, 0614). Rhus sp. almost codominant with woody<2. Possible bunches of sporabolis sp. (dead)",Yes,<Null>,BRRU2 (Bromus rubens),"BRRU2 (Bromus rubens): 0607, 0608",11/25/2019 20:55,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Point
15,{68ea866b-0525-46d5-8f05-3e2261ec2c93},Lake Mead NRA,LAKE_P_RAT0056,LAKE_P_RAT0056,297,10/30/2019 21:25,MOJN DS (Published 2018),LAKE_P_RAT0056: 2019-10-30,Primary,Sampled,Rheocrene,Dry. Spring source under rectangular granite boulder near a cottonwood.,Zone 11,NAD83 (Unknown),BadElf 4181,No,36783,MOJN_03,Yes,Yes,Yes,HOBO TidbiT,308,14:42,New sensor bolted under granite boulder at source using existing wire.,dry,Estimated,,0 L/s,<Null>,<Null>,<Null>,,Measured,0,0,<Null>,<Null>,More sediment in channel than is seen in previous photos. Granite boulders and outcrops. Streambed changes from gravel rich upstream to solid granite downstream. About 10cm deep channel incision in gravel.,No - Insufficient water,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,None,0,0,1,0,0,0,0,2,0,0,2,"Flattened vegetation, old tamarisk stump, channel incision with recent sand deposition outside the incision",Yes,Yes,"Woody >4m, Woody <2m, Forb, Grass, Non-Plant","Woody >4m: 0625, 0626
Woody <2m: 0627, 0628, 0629
Forb: 0635, 0636, 0637, 0638
Grass: 0630, 0631, 0632
Non-Plant: 0639",2,NA,1,4,3,NA,NA,NA,NA,NA,5,No,<Null>,Yes,<Null>,BRRU2 (Bromus rubens),"BRRU2 (Bromus rubens): 0630, 0631, 0632",11/25/2019 20:36,mojn_hydro,3/10/2022 21:26,mlehman@nps.gov_nps,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Point
