Event_ID,Unit_Code,MOJN_SpringCode,EventDate,Disturbance_Description,SiteCondition_Description
43,DEVA,DEVA_P_BEE0204,11/12/2004,Other,Undisturbed
49,DEVA,DEVA_P_BIG0088,1/31/2005,Other,Undisturbed
50,DEVA,DEVA_P_BIG0089,1/31/2005,Other,Undisturbed
52,DEVA,DEVA_P_BIG0091,1/31/2005,Other,Undisturbed
65,DEVA,DEVA_P_BLA0377,12/12/2004,Other,Undisturbed
88,DEVA,DEVA_P_BON0151,3/8/2005,Other,Undisturbed
89,DEVA,DEVA_P_BOT0781,10/11/2005,Other,Undisturbed
97,DEVA,DEVA_P_BRI0276,11/17/2004,Other,Undisturbed
117,DEVA,DEVA_P_BUC0595,1/31/2005,Other,Undisturbed
119,DEVA,DEVA_P_BUC0596,1/31/2005,Other,Undisturbed
121,DEVA,DEVA_P_BUC0597,1/31/2005,Other,Undisturbed
123,DEVA,DEVA_P_BUC0598,1/31/2005,Other,Undisturbed
125,DEVA,DEVA_P_BUC0599,1/31/2005,Other,Undisturbed
127,DEVA,DEVA_P_BUC0600,1/31/2005,Other,Undisturbed
129,DEVA,DEVA_P_BUC0601,1/31/2005,Other,Undisturbed
131,DEVA,DEVA_P_BUC0602,1/31/2005,Other,Undisturbed
133,DEVA,DEVA_P_BUC0603,1/31/2005,Other,Undisturbed
153,DEVA,DEVA_P_BUS0233,11/12/2004,Other,Undisturbed
154,DEVA,DEVA_P_BUS0232,11/12/2004,Other,Undisturbed
228,DEVA,DEVA_P_LAS0251,11/15/2004,Other,Undisturbed
297,DEVA,DEVA_P_DEL0481,4/5/2005,Other,Undisturbed
320,DEVA,DEVA_P_EAS0676,1/18/2005,Other,Undisturbed
322,DEVA,DEVA_P_EAS0677,1/18/2005,Other,Undisturbed
360,DEVA,DEVA_P_FAN0744,2/16/2005,Other,Undisturbed
365,DEVA,DEVA_P_FIR0990,11/6/2004,Other,Undisturbed
376,DEVA,DEVA_P_GAR0302,11/29/2004,Other,Undisturbed
386,DEVA,DEVA_P_GNO0063,12/16/2004,Other,Undisturbed
