Unit_Code,Spring_ID,MOJN_SpringCode,ComplexName,LocationName,LocationType_Label,LandOwnership_Label,ComplexStatus_Label,X_UTM_NAD83_11N,Y_UTM_NAD83_11N,Lon_WGS84,Lat_WGS84,ElevationDEM_m,BuildingProximity,ElevationBand,EventDate,VisitType_Label,SpringHabitat_Label,DissolvedOxygen_mg_per_l,SpringbrookLength_m,Temperature_C,SpConductivity_microSiemens_per_cm,pH,DischargeFlag_Code,Discharge_liters_per_minute,WaterDepth_cm,WaterWidth_m,Notes,FieldnoteNumber,LocateStatus_Label,DischargeClass_Description,Event_ID,Diversion,Dredging,Drying,Fire,Flooding,Livestock,Other,Overall,Recreation,Residence
DEVA,COT0935,DEVA_P_COT0935,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 19,Spring,Park,Not representative,502275,4042254,-116.9745883,36.52565372,-80,> 75m,1,,First Visit,Limnocrene,,10,,,0,,,15,1,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) and Cottonball Marsh Tyronia snail (Tyronia) found.",DS97-018,Located,<= 1 L/sec,1,,,,,,,,,,
DEVA,COT0919,DEVA_P_COT0919,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 2,Spring,Park,Not representative,502306,4043031,-116.9742397,36.53265841,-80,> 75m,1,,First Visit,Seep,,,,,,,,,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Badwater snail (Assiminea) found.",DS97-002,Located,<= 1 L/sec,2,,,,,,,,,,
DEVA,COT0936,DEVA_P_COT0936,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 20,Spring,Park,Not representative,502255,4042232,-116.9748118,36.52545544,-80,> 75m,1,,First Visit,Limnocrene,,17,,,0,,,10,1,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon), Cottonball Marsh Tyronia snail (Tyronia) and Badwater snail (Assiminea) found.",DS97-019,Located,<= 1 L/sec,3,,,,,,,,,,
DEVA,COT0937,DEVA_P_COT0937,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 21,Spring,Park,Not representative,502249,4042216,-116.9748788,36.52531121,-80,> 75m,1,,First Visit,Limnocrene,,24,,,0,,,20,1.5,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.",DS97-020,Located,<= 1 L/sec,4,,,,,,,,,,
DEVA,COT0938,DEVA_P_COT0938,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 22,Spring,Park,Not representative,502257,4042190,-116.9747896,36.5250768,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,22,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.  Area measured as 347 ha.  Additional comments from DWSada: sheetlike.",DS97-021,Located,<= 1 L/sec,5,,,,,,,,,,
DEVA,COT0939,DEVA_P_COT0939,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 23,Spring,Park,Not representative,502201,4042217,-116.975415,36.52532033,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,35,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) and Badwater snail (Assiminea) found.  Area measured as 144 ha.",DS97-022,Located,<= 1 L/sec,6,,,,,,,,,,
DEVA,COT0940,DEVA_P_COT0940,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 24,Spring,Park,Not representative,502225,4042164,-116.9751471,36.52484248,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,25,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) and Badwater snail (Assiminea) found.  Area measured as 118 ha.",DS97-023,Located,<= 1 L/sec,7,,,,,,,,,,
DEVA,COT0941,DEVA_P_COT0941,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 25,Spring,Park,Not representative,502153,4042207,-116.9759512,36.52523029,-80,> 75m,1,,First Visit,Seep,,,,,0,,,,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Badwater snail (Assiminea) found.",DS97-024,Located,<= 1 L/sec,8,,,,,,,,,,
DEVA,COT0942,DEVA_P_COT0942,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 26,Spring,Park,Not representative,502207,4042055,-116.9753484,36.52385987,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,10,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.  Area measured as 533 ha.  Additional comment from DWSada: sheetlike.",DS97-025,Located,<= 1 L/sec,9,,,,,,,,,,
DEVA,COT0943,DEVA_P_COT0943,Cottonball Marsh Sulfur Spring,Cottonball Marsh Sulfur Spring 27,Spring,Park,Not representative,502234,4042038,-116.9750469,36.52370655,-80,> 75m,1,,First Visit,Limnocrene,,,,,0,,,70,,"Survey conducted by Don Sada in 1997.  Not re-surveyed for Spring Inventory due to sensitive, innaccessible nature of area.  Cottonball Marsh Pupfish (Cyprinodon) found.  Area measured as 414 ha.",DS97-026,Located,<= 1 L/sec,10,,,,,,,,,,
